NCESSCH,LEAID,LEANM05,SCHNAM05,LCITY05,LSTATE05,LATCOD,LONCOD,MLOCALE,ULOCALE,status05
10000200277,100002,ALABAMA YOUTH SERVICES,SEQUOYAH SCHOOL - CHALKVILLE CAMPUS,PINSON,AL,33.674697,-86.627775,3,41,1
10000201402,100002,ALABAMA YOUTH SERVICES,EUFAULA SCHOOL - EUFAULA CAMPUS,CLAYTON,AL,31.88235,-85.25664,7,42,1
10000201667,100002,ALABAMA YOUTH SERVICES,CAMPS,MT MEIGS,AL,32.3754,-86.0979,4,41,1
10000201670,100002,ALABAMA YOUTH SERVICES,DETENTION CENTER,MT MEIGS,AL,32.3754,-86.0979,4,41,1
10000201705,100002,ALABAMA YOUTH SERVICES,WALLACE SCHOOL - MOUNT MEIGS CAMPUS,MOUNT MEIGS,AL,32.36892,-86.08119,8,41,1
10000201706,100002,ALABAMA YOUTH SERVICES,MCNEEL SCHOOL - VACCA CAMPUS,BIRMINGHAM,AL,33.58224,-86.71058,1,12,1
10000500870,100005,ALBERTVILLE CITY,ALABAMA AVENUE MIDDLE SCHOOL,ALBERTVILLE,AL,34.25999,-86.2076,6,31,1
10000500871,100005,ALBERTVILLE CITY,ALBERTVILLE HIGH SCHOOL,ALBERTVILLE,AL,34.26325,-86.20599,6,31,1
10000500879,100005,ALBERTVILLE CITY,EVANS ELEMENTARY SCHOOL,ALBERTVILLE,AL,34.27285,-86.21997,6,31,1
10000500889,100005,ALBERTVILLE CITY,ALBERTVILLE ELEMENTARY SCHOOL,ALBERTVILLE,AL,34.25753,-86.21859,6,31,1
10000501616,100005,ALBERTVILLE CITY,BIG SPRING LAKE KINDERGARTEN SCHOOL,ALBERTVILLE,AL,34.29022,-86.19249,6,31,1
10000600193,100006,MARSHALL COUNTY,KATE DUNCAN SMITH DAR MIDDLE,GRANT,AL,34.53452,-86.25258,7,42,1
10000600872,100006,MARSHALL COUNTY,ASBURY SCHOOL,ALBERTVILLE,AL,34.36277,-86.14224,7,42,1
10000600876,100006,MARSHALL COUNTY,CLAYSVILLE JUNIOR HIGH SCHOOL,GUNTERSVILLE,AL,34.40741,-86.27082,7,42,1
10000600877,100006,MARSHALL COUNTY,DOUGLAS ELEMENTARY SCHOOL,DOUGLAS,AL,34.17594,-86.32105,7,42,1
10000600878,100006,MARSHALL COUNTY,DOUGLAS HIGH SCHOOL,DOUGLAS,AL,34.17686,-86.3203,7,42,1
10000600880,100006,MARSHALL COUNTY,GRASSY ELEMENTARY SCHOOL,ARAB,AL,34.34452,-86.44163,7,41,1
10000600883,100006,MARSHALL COUNTY,KATE D SMITH DAR HIGH SCHOOL,GRANT,AL,34.53452,-86.25258,7,42,1
10000600887,100006,MARSHALL COUNTY,UNION GROVE ELEMENTARY SCHOOL,UNION GROVE,AL,34.40031,-86.44616,7,42,1
10000600986,100006,MARSHALL COUNTY,MARSHALL ALTERNATIVE SCHOOL,GUNTERSVILLE,AL,34.30515,-86.28796,6,31,1
10000600987,100006,MARSHALL COUNTY,MARSHALL TECHNICAL SCHOOL,GUNTERSVILLE,AL,34.30515,-86.28796,6,31,1
10000601413,100006,MARSHALL COUNTY,ROBERT D SLOMAN PRIMARY,HORTON,AL,34.17667,-86.32324,7,42,1
10000601434,100006,MARSHALL COUNTY,BRINDLEE MOUNTAIN MIDDLE SCHOOL,GUNTERSVILLE,AL,34.3746,-86.4231,7,42,1
10000601585,100006,MARSHALL COUNTY,BRINDLEE MOUNTAIN HIGH SCHOOL,GUNTERSVILLE,AL,34.37655,-86.42324,7,42,1
10000601685,100006,MARSHALL COUNTY,KATE D SMITH DAR ELEMENTARY SCHOOL,GRANT,AL,34.53452,-86.25258,7,42,1
10000601812,100006,MARSHALL COUNTY,DOUGLAS MIDDLE SCHOOL,DOUGLAS,AL,34.17686,-86.3203,7,42,1
10000700091,100007,HOOVER CITY,TRACE CROSSINGS ELEMENTARY SCHOOL,HOOVER,AL,33.34682,-86.84316,8,41,1
10000700248,100007,HOOVER CITY,GREYSTONE ELEMENTARY SCHOOL,HOOVER,AL,33.41436,-86.65997,2,13,1
10000700251,100007,HOOVER CITY,HOOVER HIGH SCHOOL,HOOVER,AL,33.34718,-86.84308,8,41,1
20039000539,200390,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,KALIFORNSKY BEACH ELEMENTARY,SOLDOTNA,AK,60.4873,-151.14088,7,41,1
20039000540,200390,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,SEWARD HIGH SCHOOL,SEWARD,AK,60.1461,-149.4177,7,43,1
20039000541,200390,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,SOLDOTNA MIDDLE SCHOOL,SOLDOTNA,AK,60.48767,-151.09701,6,33,1
20039000542,200390,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,SOLDOTNA HIGH SCHOOL,SOLDOTNA,AK,60.49451,-151.09715,6,33,1
20039000543,200390,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,HOMER MIDDLE SCHOOL,HOMER,AK,59.64132,-151.55654,7,43,1
20039000601,200390,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,MT. VIEW ELEMENTARY,KENAI,AK,60.56254,-151.17687,7,41,1
